index,x,y,z,length,width,height
1,(0,0,0),(72,80,100)
2,(72,0,0),(72,80,100)
3,(144,0,0),(72,80,100)
4,(216,0,0),(72,80,100)
5,(288,0,0),(72,80,100)
6,(360,0,0),(72,80,100)
7,(432,0,0),(72,80,100)
8,(504,0,0),(72,80,100)
9,(0,0,100),(80,72,100)
10,(0,80,0),(72,80,100)
11,(80,0,100),(72,80,100)
12,(72,80,0),(72,80,100)
13,(152,0,100),(72,80,100)
14,(144,80,0),(72,80,100)
15,(224,0,100),(72,80,100)
16,(216,80,0),(72,80,100)
17,(0,160,0),(54,58,109)
18,(54,160,0),(54,58,109)
19,(108,160,0),(54,58,109)
20,(162,160,0),(54,58,109)
21,(216,160,0),(54,58,109)
22,(270,160,0),(58,54,109)
23,(288,80,0),(54,58,109)
24,(328,138,0),(54,58,109)
25,(342,80,0),(54,58,109)
26,(382,138,0),(54,58,109)
27,(396,80,0),(54,58,109)
28,(436,138,0),(54,58,109)
29,(450,80,0),(54,58,109)
30,(490,138,0),(54,58,109)
31,(504,80,0),(54,58,109)
32,(0,72,100),(58,54,109)
33,(58,80,100),(54,58,109)
34,(112,80,100),(43,77,87)
35,(155,80,100),(43,77,87)
36,(198,80,100),(43,77,87)
37,(241,80,100),(43,77,87)
38,(296,0,100),(43,77,87)
39,(339,0,100),(43,77,87)
40,(382,0,100),(43,77,87)
41,(425,0,100),(43,77,87)
42,(468,0,100),(43,77,87)
43,(511,0,100),(43,77,87)
44,(284,80,109),(43,77,87)
45,(327,77,109),(43,77,87)
46,(327,154,109),(43,77,87)
47,(370,77,109),(43,77,87)
48,(370,154,109),(43,77,87)
49,(413,77,109),(43,77,87)
50,(413,154,109),(43,77,87)
51,(456,77,109),(43,77,87)
52,(456,154,109),(43,77,87)
53,(499,77,109),(43,77,87)
54,(544,138,0),(39,54,88)
55,(544,138,88),(39,54,88)
56,(0,126,109),(39,54,88)
57,(39,138,109),(39,54,88)
58,(78,157,109),(39,54,88)
59,(117,157,109),(39,54,88)
60,(156,157,109),(39,54,88)
61,(195,157,109),(39,54,88)
62,(234,157,109),(39,54,88)
63,(273,157,109),(39,54,88)
64,(499,154,109),(39,54,88)
65,(542,77,109),(39,54,88)
66,(328,196,0),(54,36,94)
67,(382,196,0),(54,36,94)
68,(436,196,0),(54,36,94)
69,(490,196,0),(54,36,94)
70,(554,0,100),(30,55,94)
71,(112,80,187),(94,55,30)
72,(296,0,187),(94,55,30)
73,(390,0,187),(94,55,30)
74,(544,192,0),(36,40,83)
75,(544,192,83),(36,40,83)
76,(0,180,109),(36,40,83)
77,(36,192,109),(36,40,83)
78,(542,131,176),(36,83,40)
79,(558,80,0),(22,54,91)
80,(72,211,109),(54,22,91)
81,(126,211,109),(54,22,91)
82,(180,211,109),(54,22,91)
83,(234,211,109),(54,22,91)
84,(312,55,196),(54,91,22)
85,(366,55,196),(54,91,22)
86,(420,55,196),(54,91,22)
87,(474,55,196),(54,91,22)
88,(0,126,197),(54,91,22)
89,(312,146,196),(91,54,22)
90,(403,146,196),(91,54,22)
91,(54,138,197),(91,54,22)
92,(145,135,197),(91,54,22)
container,,,,587, 233, 220
