index,x,y,z,length,width,height
1,(0,0,0),(55,81,92)
2,(55,0,0),(55,81,92)
3,(110,0,0),(55,81,92)
4,(165,0,0),(55,81,92)
5,(220,0,0),(55,81,92)
6,(275,0,0),(55,81,92)
7,(330,0,0),(55,81,92)
8,(385,0,0),(55,81,92)
9,(440,0,0),(55,81,92)
10,(495,0,0),(55,81,92)
11,(0,0,92),(81,55,92)
12,(0,81,0),(55,81,92)
13,(81,0,92),(55,81,92)
14,(55,81,0),(55,81,92)
15,(136,0,92),(55,81,92)
16,(110,81,0),(55,81,92)
17,(191,0,92),(55,81,92)
18,(165,81,0),(55,81,92)
19,(246,0,92),(55,81,92)
20,(220,81,0),(55,81,92)
21,(301,0,92),(55,81,92)
22,(275,81,0),(55,81,92)
23,(356,0,92),(55,81,92)
24,(330,81,0),(55,81,92)
25,(411,0,92),(55,81,92)
26,(385,81,0),(55,81,92)
27,(466,0,92),(55,81,92)
28,(440,81,0),(55,81,92)
29,(521,0,92),(55,81,92)
30,(495,81,0),(55,81,92)
31,(0,162,0),(81,55,92)
32,(81,162,0),(81,55,92)
33,(0,55,92),(55,81,92)
34,(55,81,92),(55,81,92)
35,(110,81,92),(55,81,92)
36,(165,81,92),(55,81,92)
37,(220,81,92),(55,81,92)
38,(275,81,92),(55,81,92)
39,(330,81,92),(55,81,92)
40,(550,81,0),(30,76,108)
41,(550,157,0),(30,76,108)
42,(385,81,92),(30,76,108)
43,(415,81,92),(30,76,108)
44,(445,81,92),(30,76,108)
45,(475,81,92),(30,76,108)
46,(505,81,92),(30,76,108)
47,(0,136,92),(30,76,108)
48,(385,157,92),(30,76,108)
49,(415,157,92),(30,76,108)
50,(445,157,92),(30,76,108)
51,(475,157,92),(30,76,108)
52,(505,157,92),(30,76,108)
53,(535,81,108),(30,76,108)
54,(535,157,108),(30,76,108)
55,(162,162,0),(76,30,108)
56,(238,162,0),(76,30,108)
57,(162,192,0),(76,30,108)
58,(238,192,0),(76,30,108)
59,(30,162,92),(76,30,108)
60,(30,192,92),(76,30,108)
61,(106,162,108),(76,30,108)
62,(182,162,108),(76,30,108)
63,(258,162,108),(76,30,108)
64,(106,192,108),(76,30,108)
65,(182,192,108),(76,30,108)
66,(258,192,108),(76,30,108)
67,(314,162,0),(108,30,76)
68,(422,162,0),(108,30,76)
69,(314,192,0),(108,30,76)
70,(422,192,0),(108,30,76)
71,(0,0,184),(76,108,30)
72,(76,0,184),(76,108,30)
73,(152,0,184),(76,108,30)
74,(228,0,184),(76,108,30)
75,(304,0,184),(76,108,30)
76,(380,0,184),(108,76,30)
77,(334,162,76),(25,43,110)
78,(359,162,76),(25,43,110)
79,(334,205,76),(43,25,110)
80,(30,108,184),(110,43,25)
81,(140,108,184),(110,43,25)
82,(250,108,184),(110,43,25)
container,,,,587, 233, 220
